#Source,RA,DEC,Size_1,Size_2,Peak_Flux,Flux_flag,Flux,rms_flag,rms,Sigma_flag,Sigma,RA_deg,DEC_deg
G269.7+0.0,09:10:47.7,-48:03:16,33,27,9,,-99.0,>,3.0,,-99.0,137.69875,-48.05444444444445
G291.0+0.1,11:12:33.3,-60:28:42,22,20,18,,0.58,>,3.0,,0.16,168.13875000000002,-60.478333333333346
G296.6-0.4,11:55:50.8,-62:34:27,14,10,18,,0.45,,2.0,,0.38,178.96166666666667,-62.57416666666667
G296.7-0.9,11:55:31.0,-63:07:08,14,10,43,,2.9,,1.0,,2.46,178.87916666666666,-63.11888888888889
G299.3-1.5,12:17:55.5,-64:09:53,36,29,12,>,0.31,,2.0,>,0.04,184.48125000000002,-64.16472222222222
G308.4-1.4,13:41:32.9,-63:44:41,14,6,37,,0.39,,1.5,,0.55,205.3870833333333,-63.74472222222222
G310.7-5.4,14:12:18.1,-67:05:03,31,29,6,>,0.83,,1.0,>,0.11,213.07541666666668,-67.08416666666666
G310.9-0.3,13:59:55.5,-62:03:47,17,11,38,,0.64,,3.0,,0.4,209.98125,-62.06305555555555
G321.3-3.9,15:32:13.8,-60:51:54,109,64,10,>,0.37,,1.0,>,0.01,233.05749999999998,-60.864999999999995
G322.7+0.1,15:24:01.9,-56:49:12,13,11,7,,0.29,,1.5,,0.27,231.0079166666667,-56.81999999999999
G322.9-0.0,15:25:40.4,-56:46:45,12,11,7,,0.17,,1.5,,0.15,231.41833333333335,-56.77916666666667
G323.7-1.0,15:34:30.1,-57:12:03,51,38,6,>,0.61,,1.0,>,0.04,233.62541666666672,-57.200833333333335
G324.1+0.0,15:32:41.2,-56:03:14,11,7,36,,0.3,,2.0,,0.46,233.17166666666665,-56.0538888888889
G325.0-0.3,15:39:20.7,-55:49:28,6,4,37,,0.69,,2.0,,3.4,234.83624999999998,-55.82444444444444
G330.7+0.1,16:07:28.4,-51:53:08,10,8,32,,-99.0,,2.0,,-99.0,241.86833333333334,-51.88555555555556
G334.0-0.8,16:26:36.0,-50:16:19,14,11,27,,0.23,,2.0,,0.18,246.65000000000003,-50.271944444444436
G336.7-0.3,16:35:25.4,-47:57:01,5,3,72,,0.66,>,3.0,,5.2,248.8558333333333,-47.95027777777778
G336.9-0.5,16:37:12.2,-47:57:53,15,12,26,,-99.0,,3.0,,-99.0,249.30083333333337,-47.964722222222214
G345.1-0.2,17:05:14.1,-41:26:00,6,5,172,,2.1,,3.0,,0.59,256.30875,-41.43333333333333
G345.2+0.2,17:03:44.3,-41:05:35,11,11,19,,0.28,,2.0,,0.27,255.9345833333333,-41.09305555555556
G346.2-1.0,17:12:10.8,-40:59:06,7,7,14,,0.55,,2.0,,1.33,258.045,-40.985
G348.9+1.1,17:11:28.7,-37:34:42,12,11,17,,2.2,,3.0,,2.0,257.8695833333333,-37.57833333333333
G354.1+0.3,17:29:38.4,-33:47:02,11,11,52,,0.11,>,3.0,,0.11,262.41,-33.783888888888896
