#ID  RA_deg  DEC_deg SEMI-MAJOR-AXIS_deg 
400 118.14421 -26.419824 0.304593874664
324 261.28827 -34.278429 0.370539574618
39 266.83303 -29.185684 0.173273047038
22 268.13537 -22.548133 0.335269244398
21 269.75844 -23.693369 0.275610393371
314 270.01042 -21.80791 0.848629989363
20 270.08439 -23.671484 0.812607415796
16 270.26962 -23.259306 0.284326086217
19 270.34451 -23.396542 0.347411561758
312 270.86104 -17.556856 0.339282201875
426 270.95456 -23.058232 0.529251703926
23 271.06547 -24.443156 0.500961610796
427 271.53982 -23.228174 0.538010195235
8 274.65543 -13.772783 0.403252199159
9 275.14558 -16.205096 0.369073652545
308 275.5934 -9.6672018 0.397500419011
302 280.28398 -1.9022821 0.473902240132
425 282.91848 1.285108 0.934773436343
1 284.58448 1.6469897 0.604549999553
0 284.64053 3.7048426 0.672353758209
