GREEN SEES IT, WE DO NOT
#Name RA DEC Maj ExpectedFlux Should_we_see_it?
G000.3+00.0 266.56 -28.63 15.0 70.0812596787 Y
G001.9+00.3 267.18 -27.16 1.5 1.9113071581 N
G003.7-00.2 268.85 -25.83 14.0 8.06935097736 Y
G004.8+06.2 263.35 -21.56 18.0 9.55653541074 Y
G006.1+00.5 269.37 -23.41 18.0 25.5847567233 Y
G006.5-00.4 270.54 -23.56 18.0 86.0088186966 Y
G007.2+00.2 270.27 -22.63 12.0 8.91943289812 Y
G008.3-00.0 271.14 -21.81 5.0 3.82261431619 N
G008.7-05.0 276.04 -23.8 26.0 7.85312111142 Y
G008.9+00.4 270.99 -21.05 24.0 28.6696062322 Y
G009.7-00.0 271.84 -20.58 15.0 11.7863938251 Y
G009.8+00.6 271.28 -20.23 12.0 10.2419020135 Y
G009.9-00.8 272.67 -20.71 12.0 14.5053293614 Y
G010.5-00.0 272.28 -19.78 6.0 2.86696054727 N
G011.0-00.0 272.51 -19.41 11.0 4.14116519276 N
G011.1-01.0 273.51 -19.76 18.0 15.2315467126 Y
G011.1-00.7 273.19 -19.63 11.0 3.86404689465 N
G011.1+00.1 272.44 -19.2 12.0 4.97944146108 N
G011.4-00.1 272.69 -19.08 8.0 15.7567719432 Y
G011.8-00.2 273.1 -18.73 4.0 1.24936012846 N
G012.0-00.1 273.04 -18.61 7.0 13.5241641313 Y
G012.2+00.3 272.82 -18.16 6.0 3.09123756178 N
G012.5+00.2 273.05 -17.91 6.0 1.29898480753 N
G012.7-00.0 273.32 -17.9 6.0 3.74969204717 N
G012.8-00.0 273.4 -17.81 3.0 2.10090295706 N
G014.1-00.1 274.16 -16.68 6.0 1.59275590179 N
G014.3+00.1 273.99 -16.45 5.0 1.29898480753 N
G015.4+00.1 274.5 -15.45 15.0 18.5412863952 Y
G015.9+00.2 274.71 -15.03 7.0 16.8775016426 Y
G016.0-00.5 275.48 -15.23 15.0 8.60088202156 Y
G016.2-02.7 277.41 -16.13 17.0 5.41243648295 Y
G016.7+00.1 275.23 -14.33 4.0 9.55653541074 Y
G017.0-00.0 275.48 -14.13 5.0 1.3130643286 N
G017.4-00.1 275.78 -13.76 6.0 1.54561878089 N
G017.8-02.6 278.2 -14.65 24.0 13.130643286 Y
G018.6-00.2 276.47 -12.83 6.0 3.03096437884 N
G019.1+00.2 276.23 -12.11 27.0 26.2612865719 Y
G020.0-00.2 277.02 -11.58 10.0 12.1300670375 Y
G021.0-00.4 277.8 -10.78 9.0 3.50406305989 N
G021.5-00.9 278.38 -10.58 5.0 7.0 Y
G021.5-00.1 277.7 -10.15 5.0 1.05045147853 N
G022.7-00.2 278.31 -9.21 26.0 105.121889518 Y
G024.7-00.6 279.67 -7.53 15.0 21.0090292576 Y
G027.4+00.0 280.32 -4.93 4.0 22.30596492 Y
G027.8+00.6 279.95 -4.4 50.0 30.0 Y
G029.7-00.3 281.6 -2.98 3.0 33.7550032852 Y
G030.7+01.0 281.0 -1.53 24.0 12.9898475591 Y
G031.9+00.0 282.35 -0.91 7.0 25.0 Y
G033.2-00.6 283.45 -0.03 18.0 3.5 N
G272.2-03.2 136.7 -52.11 15.0 1.27420474042 N
G296.5+10.0 182.41 -52.41 90.0 126.054175545 Y
G322.5-00.1 230.84 -57.1 15.0 3.24746188977 N
G327.6+14.6 225.7 -41.93 30.0 60.524724268 Y
G332.4+00.1 243.83 -50.7 15.0 68.2793450871 Y
G337.2-00.7 249.86 -47.85 6.0 3.24746188977 N
G359.0-00.9 266.7 -30.26 23.0 60.4009591155 Y
