#Name RA DEC Maj
G001.9+00.3 267.18 -27.16 1.5
G003.7-00.2 268.85 -25.83 14.0
G003.8+00.3 268.22 -25.46 18.0
G004.8+06.2 263.35 -21.56 18.0
G005.2-02.6 271.87 -25.75 18.0
G006.1+01.2 268.72 -23.08 30.0
G006.4+04.0 266.29 -21.36 31.0
G006.5-00.4 270.54 -23.56 18.0
G007.0-00.1 270.45 -22.9 15.0
G007.2+00.2 270.27 -22.63 12.0
G008.3-00.0 271.14 -21.81 5.0
G008.9+00.4 270.99 -21.05 24.0
G009.7-00.0 271.84 -20.58 15.0
G009.8+00.6 271.28 -20.23 12.0
G009.9-00.8 272.67 -20.71 12.0
G010.5-00.0 272.28 -19.78 6.0
G011.0-00.0 272.51 -19.41 11.0
G011.1-01.0 273.51 -19.76 18.0
G011.1-00.7 273.19 -19.63 11.0
G011.1+00.1 272.44 -19.2 12.0
G011.4-00.1 272.69 -19.08 8.0
G011.8-00.2 273.1 -18.73 4.0
G012.0-00.1 273.04 -18.61 7.0
G012.2+00.3 272.82 -18.16 6.0
G012.5+00.2 273.05 -17.91 6.0
G012.7-00.0 273.32 -17.9 6.0
G012.8-00.0 273.4 -17.81 3.0
G013.3-01.3 274.83 -18.0 70.0
G014.1-00.1 274.16 -16.68 6.0
G014.3+00.1 273.99 -16.45 5.0
G015.1-01.6 276.0 -16.56 30.0
G015.4+00.1 274.5 -15.45 15.0
G016.0-00.5 275.48 -15.23 15.0
G016.2-02.7 277.41 -16.13 17.0
G016.4-00.5 275.65 -14.91 13.0
G016.7+00.1 275.23 -14.33 4.0
G017.0-00.0 275.48 -14.13 5.0
G017.4-02.3 277.72 -14.86 24.0
G017.4-00.1 275.78 -13.76 6.0
G017.8-02.6 278.2 -14.65 24.0
G018.6-00.2 276.47 -12.83 6.0
G020.4+00.1 276.96 -11.0 8.0
G021.0-00.4 277.8 -10.78 9.0
G021.5-00.9 278.38 -10.58 5.0
G021.5-00.1 277.7 -10.15 5.0
G021.6-00.8 278.41 -10.41 13.0
G022.7-00.2 278.31 -9.21 26.0
G023.6+00.3 278.26 -8.21 10.0
G024.7+00.6 278.54 -7.08 30.0
G025.1-02.3 281.29 -8.0 80.0
G027.4+00.0 280.32 -4.93 4.0
G028.8+01.5 279.75 -2.91 100.0
G029.6+00.1 281.21 -2.95 5.0
G030.7-02.0 283.6 -2.9 16.0
G030.7+01.0 281.0 -1.53 24.0
G031.5-00.6 282.79 -1.51 18.0
G032.0-04.9 286.5 -3.0 60.0
G032.1-00.9 283.29 -1.13 40.0
G032.4+00.1 282.52 -0.41 6.0
G032.8-00.1 282.85 -0.13 17.0
G033.2-00.6 283.45 -0.03 18.0
G033.6+00.1 283.2 0.68 10.0
G035.6-00.4 284.47 2.21 15.0
G036.6-00.7 285.14 2.93 25.0
G036.6+02.6 282.2 4.43 17.0
G038.7-01.3 286.66 4.46 32.0
G039.2-00.3 286.03 5.46 8.0
G039.7-02.0 288.08 4.91 120.0
G040.5-00.5 286.79 6.51 22.0
G041.1-00.3 286.89 7.13 4.5
G041.5+00.4 286.45 7.76 10.0
G042.0-00.1 287.04 8.0 8.0
G042.8+00.6 286.83 9.08 24.0
G043.3-00.2 287.78 9.1 4.0
G043.9+01.6 286.45 10.5 60.0
G045.7-00.4 289.1 11.15 22.0
G046.8-00.3 289.54 12.15 17.0
G049.2-00.7 290.95 14.1 30.0
G053.6-02.2 294.7 17.23 33.0
G054.1+00.3 292.62 18.86 12.0
G054.4-00.3 293.33 18.93 40.0
G055.0+00.3 293.0 19.83 20.0
G055.7+03.4 290.33 21.73 23.0
G057.2+00.8 293.74 21.95 12.0
G059.5+00.1 295.63 23.58 15.0
G059.8+01.2 294.72 24.31 20.0
G063.7+01.1 296.96 27.75 8.0
G064.5+00.9 297.6 28.26 8.0
G065.1+00.6 298.66 28.58 90.0
G065.3+05.7 293.25 31.16 310.0
G065.7+01.2 298.04 29.43 22.0
G065.8-00.5 299.83 28.63 10.0
G066.0-00.0 299.45 29.05 31.0
G067.6+00.9 299.43 30.88 50.0
G067.7+01.8 298.63 31.48 15.0
G067.8+00.5 300.0 30.85 7.0
G068.6-01.2 302.16 30.61 23.0
G069.0+02.7 298.33 32.91 80.0
