#PyBDSMID	IN_GREEN?	IN_MOSTSNRCAT?   IN_A_Green?   IN_JACOBS?  IN_MGPS_compact?    IN_PALADINI?
0 N N N N N Y
1 N N N N N Y
2 Y N N N N Y
3 Y N N N N Y
4 Y N N N N Y
5 Y N N N N Y
6 Y N N N N N
7 Y N N N N Y
8 N N N N N Y
9 N N N N N Y
10 Y N N N N Y
11 N N N Y N Y
12 Y N N N N Y
13 Y N N N N Y
14 N N N Y N N
15 Y N N N N Y
16 N N N N N Y
17 Y N N N N Y
18 Y N N N N N
19 N N N N N Y
20 N N N N N Y
21 N N N N N Y
22 N N N N N Y
23 N N N N N Y
24 Y N N N N Y
25 N N N Y N N
26 Y N N Y N Y
27 N N N N Y N
28 Y N N N Y Y
29 N N N N Y N
30 Y N N N Y Y
31 N N N N N N
32 Y N N N Y N
33 Y N N N Y Y
34 Y N N N Y Y
35 N N N N Y Y
36 N N N N Y Y
37 Y N N N Y Y
38 N N N N Y Y
39 N N N N N Y
40 N N N N N N
41 N N N N Y Y
42 N N N N Y Y
43 N N N N Y N
44 N N N N Y N
45 N N N N Y Y
46 Y N N N Y N
47 N N N N Y Y
48 Y N N N Y N
49 Y N N N Y N
50 N N N Y Y N
51 N N N Y Y N
52 Y N N N Y N
53 Y N N N Y N
54 N N N N Y Y
55 N N N N Y Y
56 N N N Y Y N
57 N N N N Y N
58 Y Y N N Y Y
59 N N N Y Y N
60 Y Y N N Y Y
61 Y N N N Y Y
62 Y Y N N Y N
63 Y Y N N Y Y
64 N N N N Y Y
65 Y Y N N Y N
66 Y Y N N Y N
67 N N N N Y N
68 N N N N Y Y
69 N N N N Y N
70 Y N N N Y N
71 N N N N Y Y
72 Y Y N N Y N
73 N N N N Y Y
74 Y Y N N Y Y
75 N N N N Y Y
76 N N N N Y Y
77 N N N N Y N
78 Y N N N Y N
79 Y Y N N Y Y
80 Y Y N N Y N
81 N N N Y Y N
82 N N N Y Y N
83 Y Y N N Y Y
84 N N N N Y Y
85 N N N N Y N
86 Y Y N N Y Y
87 Y Y N N Y Y
88 Y Y N N Y Y
89 N N N N Y Y
90 Y Y N N Y N
91 N N Y N Y Y
92 Y Y N N Y Y
93 N N N N Y Y
94 N N N Y Y N
95 Y Y N N Y N
96 N N N Y Y N
97 Y Y N N Y N
98 N N N N Y Y
99 N N N N Y Y
100 N Y N N Y Y
101 N N N N Y Y
102 N N N N Y Y
103 Y Y N N Y Y
104 N N N N Y Y
105 N N N N Y N
106 Y Y N N Y N
107 N N N N Y Y
108 Y Y N N Y Y
109 N N N Y Y N
110 Y Y N N Y Y
111 Y Y N N Y N
112 N N N N Y N
113 Y Y N N Y Y
114 N Y N N Y Y
115 N N N N Y Y
116 Y Y N N Y Y
117 Y Y N N Y Y
118 N N N N Y N
119 N N N N Y Y
120 N N N N Y N
121 Y Y N N Y N
122 N N N N Y N
123 N N N N N N
124 N N N N N N
125 N N N N Y Y
126 N N N N Y Y
127 N N N N Y Y
128 N N N N Y N
129 N N N N Y N
130 N Y Y N Y Y
131 Y Y N N Y Y
132 N Y Y N Y Y
133 N N N N Y Y
134 Y Y N N Y Y
135 N N N N Y Y
136 N N N N Y N
137 N N N N Y Y
138 Y Y N N Y Y
139 N N N N Y Y
140 N N N N Y N
141 Y Y N N Y N
142 N N N N Y Y
143 N N N N Y N
144 N N N N Y Y
